"Notes"	"Age"	"Age Code"	"Ethnicity"	"Ethnicity Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Population
	"12 years"	"12"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9430992
	"12 years"	"12"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	36837625
	"12 years"	"12"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9719449
	"12 years"	"12"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	38858553
	"13 years"	"13"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9398487
	"13 years"	"13"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	36967254
	"13 years"	"13"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9676000
	"13 years"	"13"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39014952
	"14 years"	"14"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9382203
	"14 years"	"14"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	36972073
	"14 years"	"14"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9672321
	"14 years"	"14"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39057304
	"15 years"	"15"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9417071
	"15 years"	"15"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37125771
	"15 years"	"15"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9725689
	"15 years"	"15"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39279807
	"16 years"	"16"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9391613
	"16 years"	"16"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37185093
	"16 years"	"16"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9729328
	"16 years"	"16"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39370017
	"17 years"	"17"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9392733
	"17 years"	"17"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37215225
	"17 years"	"17"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9733970
	"17 years"	"17"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39431637
	"18 years"	"18"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9445933
	"18 years"	"18"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37418209
	"18 years"	"18"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9680544
	"18 years"	"18"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39334747
	"19 years"	"19"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9597153
	"19 years"	"19"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38256942
	"19 years"	"19"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9715340
	"19 years"	"19"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39903575
	"20 years"	"20"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9507551
	"20 years"	"20"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38274487
	"20 years"	"20"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9561061
	"20 years"	"20"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39839622
	"21 years"	"21"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9384071
	"21 years"	"21"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38151945
	"21 years"	"21"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9359871
	"21 years"	"21"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39609452
	"22 years"	"22"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9222872
	"22 years"	"22"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37920781
	"22 years"	"22"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	9103912
	"22 years"	"22"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39223546
	"23 years"	"23"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9170107
	"23 years"	"23"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37929160
	"23 years"	"23"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8930553
	"23 years"	"23"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39092946
	"24 years"	"24"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9158204
	"24 years"	"24"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38287454
	"24 years"	"24"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8813108
	"24 years"	"24"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39246312
	"25 years"	"25"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9187033
	"25 years"	"25"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38701478
	"25 years"	"25"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8731617
	"25 years"	"25"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39529908
	"26 years"	"26"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9084555
	"26 years"	"26"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38883972
	"26 years"	"26"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8524340
	"26 years"	"26"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39503800
	"27 years"	"27"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9090384
	"27 years"	"27"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	39431787
	"27 years"	"27"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8449002
	"27 years"	"27"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	40003794
	"28 years"	"28"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8913192
	"28 years"	"28"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	39291029
	"28 years"	"28"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8236265
	"28 years"	"28"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39952136
	"29 years"	"29"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9058769
	"29 years"	"29"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	40173571
	"29 years"	"29"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8304642
	"29 years"	"29"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	40890477
	"30 years"	"30"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	9052403
	"30 years"	"30"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	40749081
	"30 years"	"30"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8268270
	"30 years"	"30"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	41547880
	"31 years"	"31"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8856441
	"31 years"	"31"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	40614609
	"31 years"	"31"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	8026458
	"31 years"	"31"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	41245064
	"32 years"	"32"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8865373
	"32 years"	"32"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	41265515
	"32 years"	"32"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7994228
	"32 years"	"32"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	41848282
	"33 years"	"33"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8820446
	"33 years"	"33"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	41653618
	"33 years"	"33"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7904997
	"33 years"	"33"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	42133825
	"34 years"	"34"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8908427
	"34 years"	"34"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	42285586
	"34 years"	"34"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7980559
	"34 years"	"34"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	42868713
	"35 years"	"35"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8933255
	"35 years"	"35"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	42774252
	"35 years"	"35"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7997761
	"35 years"	"35"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43316227
	"36 years"	"36"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8825368
	"36 years"	"36"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	42796724
	"36 years"	"36"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7837675
	"36 years"	"36"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43128086
	"37 years"	"37"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8810323
	"37 years"	"37"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43041585
	"37 years"	"37"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7801778
	"37 years"	"37"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43346295
	"38 years"	"38"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8639076
	"38 years"	"38"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	42773531
	"38 years"	"38"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7630843
	"38 years"	"38"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	42993457
	"39 years"	"39"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8782595
	"39 years"	"39"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43816132
	"39 years"	"39"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7786597
	"39 years"	"39"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	44095346
	"40 years"	"40"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8720733
	"40 years"	"40"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43901278
	"40 years"	"40"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7704722
	"40 years"	"40"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	44111037
	"41 years"	"41"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8513018
	"41 years"	"41"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43664241
	"41 years"	"41"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7493156
	"41 years"	"41"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43702904
	"42 years"	"42"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8437797
	"42 years"	"42"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43952735
	"42 years"	"42"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7434290
	"42 years"	"42"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43982750
	"43 years"	"43"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8359597
	"43 years"	"43"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	44226588
	"43 years"	"43"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7334866
	"43 years"	"43"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	44108798
	"44 years"	"44"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8225761
	"44 years"	"44"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	44322039
	"44 years"	"44"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7239583
	"44 years"	"44"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	44286900
	"45 years"	"45"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	8117327
	"45 years"	"45"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	44308993
	"45 years"	"45"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	7134225
	"45 years"	"45"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	44145311
	"46 years"	"46"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7927270
	"46 years"	"46"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43983699
	"46 years"	"46"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6936666
	"46 years"	"46"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43692464
	"47 years"	"47"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7884809
	"47 years"	"47"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	44152564
	"47 years"	"47"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6887492
	"47 years"	"47"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43764459
	"48 years"	"48"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7625852
	"48 years"	"48"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43681162
	"48 years"	"48"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6648166
	"48 years"	"48"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43179721
	"49 years"	"49"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7627871
	"49 years"	"49"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	44057655
	"49 years"	"49"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6662650
	"49 years"	"49"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	43512115
	"50 years"	"50"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7438367
	"50 years"	"50"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	43556209
	"50 years"	"50"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6474313
	"50 years"	"50"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	42884626
	"51 years"	"51"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7207013
	"51 years"	"51"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	42787047
	"51 years"	"51"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6251666
	"51 years"	"51"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	42002683
	"52 years"	"52"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	7049138
	"52 years"	"52"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	42331050
	"52 years"	"52"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	6089876
	"52 years"	"52"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	41425027
	"53 years"	"53"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	6896632
	"53 years"	"53"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	41899566
	"53 years"	"53"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	5931799
	"53 years"	"53"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	40860069
	"54 years"	"54"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	6778839
	"54 years"	"54"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	41613826
	"54 years"	"54"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	5812087
	"54 years"	"54"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	40474647
	"55 years"	"55"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	6555877
	"55 years"	"55"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	40851053
	"55 years"	"55"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	5588894
	"55 years"	"55"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	39513501
	"56 years"	"56"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	6338386
	"56 years"	"56"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	40220959
	"56 years"	"56"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	5340612
	"56 years"	"56"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	38790604
	"57 years"	"57"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	6143932
	"57 years"	"57"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	39466902
	"57 years"	"57"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	5158293
	"57 years"	"57"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	37872179
	"58 years"	"58"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	5822174
	"58 years"	"58"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	38485584
	"58 years"	"58"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	4853840
	"58 years"	"58"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	36770640
	"59 years"	"59"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	5694071
	"59 years"	"59"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	37907603
