"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	334713
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	336793
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	331852
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	328120
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	1543243
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	1545178
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	1531101
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	1491743
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	1472144
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	1460221
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	1446991
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	1444749
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	1443271
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1452001
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1465446
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1523937
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1502164
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1509747
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1519317
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1502020
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1510956
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1539116
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1526333
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1472855
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1452814
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1446530
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	1426596
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	1422091
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	1426710
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	1435286
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	1428292
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	1384910
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	1361541
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	1339615
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	"2020"	"2020"	1329744
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	320671
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	322244
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	322549
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	320522
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	311916
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	300477
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	289104
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	295451
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	299701
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	307443
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	316393
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	326628
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	317650
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	315118
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	320836
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	329152
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	337086
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	353833
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	353526
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	346752
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	341796
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	345415
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	344294
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	345114
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	348743
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	351019
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	346167
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	346767
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	348305
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	342962
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	"2020"	"2020"	341843
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	1625237
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	1626048
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	1606809
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	1575194
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	1552273
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	1540579
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	1525665
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	1520960
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	1522593
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1528776
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1542114
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1595212
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1573058
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1582999
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1592317
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1575751
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1583725
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1613589
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1596546
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1541186
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1519551
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1518972
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	1494373
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	1488954
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	1499938
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	1504478
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	1497722
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	1451822
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	1424375
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	1399405
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	1389104
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	304205
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	312749
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	315623
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	316748
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	315540
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	309526
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	300598
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	290074
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	296965
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	301780
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	302356
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	305274
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	315927
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	307337
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	303365
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	309333
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	316851
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	325122
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	340050
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	341459
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	332166
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	330816
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	333364
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	332414
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	334404
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	337855
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	339870
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	337318
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	335935
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	337949
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	332652
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	1466374
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	1529313
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	1532054
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	1520089
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	1482154
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	1464387
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	1453454
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	1442167
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	1441399
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1440434
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1444642
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1462947
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1518469
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1493952
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1498696
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1506377
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1487318
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1493565
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1518866
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1503667
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1456215
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1455956
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	1449512
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	1429705
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	1425612
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	1430452
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	1439485
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	1432554
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	1388415
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	1365187
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2020"	"2020"	1342329
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	311039
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	319435
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	322693
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	324425
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	323938
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	316969
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	307031
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	296663
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	304897
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	310992
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	312512
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	315458
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	325756
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	316851
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	314305
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	320107
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	328144
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	335998
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	352625
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	352296
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	342761
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	342541
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	346152
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	345355
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	346211
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	349827
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	351962
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	347141
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	347434
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	349110
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"2020"	"2020"	343416
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	1543718
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	1610463
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	1611459
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	1594101
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	1563248
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	1541995
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	1530775
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	1517568
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	1514092
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1515492
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1519000
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1539296
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1588999
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1563497
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1570048
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1577138
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1558541
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1563556
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1590179
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1570595
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1522727
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1522527
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	1521687
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	1497539
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	1492508
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	1504080
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	1508849
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	1501946
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	1455460
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	1427816
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	1402071
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	289215
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	306850
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	315866
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	318819
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	320007
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	318610
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	312555
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	303631
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	293094
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	300052
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	304806
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	302097
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	305141
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	315778
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	307321
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	303493
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	309464
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	316799
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	325074
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	340167
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	342485
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	332953
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	331728
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	334491
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	333582
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	335734
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	339245
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	341257
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	338502
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	337066
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	338841
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	1438375
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	1463912
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	1527477
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	1532083
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	1520369
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	1482939
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	1464902
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	1455971
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	1444542
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1443326
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1441429
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1442982
